,Word,Title Frequency
443,riots,4
444,nazi,4
445,remain,4
446,threatens,4
447,joins,4
448,dream,4
449,nightmare,4
450,belgium,4
451,high,4
452,maréchal,4
453,key,4
454,elected,4
455,record,4
456,hell,4
457,renzi,4
458,steve,4
459,close,4
460,bruno,4
461,british,4
462,january,4
463,journalist,4
464,rules,4
465,december,4
466,launch,4
467,family,4
468,turnout,4
469,vladimir,4
470,hamon,4
471,louvre,4
472,hacking,4
473,revolution,4
474,clinton,4
475,decide,3
476,football,3
477,pushes,3
478,ukraine,3
479,tougher,3
480,travel,3
481,mosque,3
482,schools,3
483,culture,3
484,add,3
485,protection,3
486,constitution,3
487,oppose,3
488,religious,3
489,jail,3
490,strategy,3
491,meps,3
492,save,3
493,called,3
494,adopts,3
495,islamist,3
496,unfair,3
497,trust,3
498,condemn,3
499,rescue,3
500,cat,3
501,slow,3
502,children,3
503,read,3
504,controversy,3
505,friend,3
506,politico,3
507,members,3
508,gamble,3
509,portugal,3
510,costa,3
511,isolate,3
512,beating,3
513,black,3
514,arms,3
515,surprise,3
516,demands,3
517,lie,3
518,longer,3
519,hate,3
520,split,3
521,team,3
522,wage,3
523,food,3
524,critics,3
525,teacher,3
526,opening,3
527,beheading,3
528,connection,3
529,search,3
530,spread,3
531,politician,3
532,dialogue,3
533,suspect,3
534,injured,3
535,approach,3
536,twitter,3
537,castaner,3
538,rebels,3
539,women,3
540,office,3
541,monday,3
542,term,3
543,greens,3
544,stumbles,3
545,major,3
546,cities,3
547,signals,3
548,woes,3
549,worker,3
550,tackle,3
551,north,3
552,africa,3
553,parallel,3
554,edouard,3
555,fate,3
556,puts,3
557,plots,3
558,exit,3
559,financial,3
560,lives,3
561,nuclear,3
562,plays,3
563,shirt,3
564,guide,3
565,charlemagne,3
566,sylvie,3
567,domestic,3
568,failure,3
569,official,3
570,anger,3
571,sees,3
572,jacques,3
573,chirac,3
574,beautiful,3
575,united,3
576,wauquiez,3
577,appeal,3
578,young,3
579,orbán,3
580,brace,3
581,parties,3
582,campaigns,3
