,Word,Title Frequency,Word Frequency
345,angela,5,265
346,great,5,264
347,bayrou,5,118
348,happened,5,91
349,débat,5,17
350,penelopegate,5,16
351,paid,5,160
352,league,4,122
353,hold,4,188
354,lift,4,42
355,pakistan,4,21
356,leave,4,277
357,restrictions,4,60
358,elite,4,112
359,claims,4,87
360,covid,4,105
361,ministry,4,280
362,imposes,4,8
363,moves,4,34
364,urges,4,2
365,lgbt,4,18
366,authorities,4,245
367,zone,4,50
368,public,4,1071
369,pari,4,66
370,defends,4,5
371,inquiry,4,25
372,rape,4,50
373,abuse,4,58
374,speed,4,70
375,drive,4,63
376,curfew,4,25
377,book,4,224
378,michel,4,166
379,comeback,4,37
380,investigated,4,27
381,rejects,4,16
382,criticism,4,213
383,break,4,131
384,christmas,4,52
385,referendum,4,241
386,turkey,4,131
387,lessons,4,39
388,estaing,4,54
389,holiday,4,43
390,rights,4,216
391,muslims,4,148
392,years,4,976
393,american,4,177
394,regional,4,245
395,killed,4,122
396,hebdo,4,46
397,diplomacy,4,43
398,terrorism,4,235
399,strasbourg,4,97
400,libya,4,74
401,racism,4,58
402,comments,4,185
403,challenge,4,182
404,measures,4,312
405,deputy,4,127
406,eastern,4,132
407,offers,4,33
408,percent,4,1614
409,names,4,43
410,reshuffle,4,49
411,resign,4,55
412,queen,4,18
413,clashes,4,32
414,care,4,136
415,resignation,4,102
416,sexual,4,100
417,revolt,4,39
418,electoral,4,159
419,charges,4,94
420,asks,4,11
421,nato,4,236
422,centrist,4,366
423,formal,4,126
424,admits,4,9
425,financing,4,67
426,iran,4,130
427,king,4,63
428,laurent,4,102
429,ditch,4,13
430,unveils,4,1
431,boy,4,26
432,risk,4,235
433,decision,4,431
434,cash,4,47
435,love,4,74
436,immunity,4,31
437,letter,4,132
438,drops,4,11
439,speech,4,458
440,stars,4,34
441,illegal,4,96
442,juncker,4,109
443,riots,4,44
444,nazi,4,41
445,remain,4,265
446,threatens,4,16
447,joins,4,10
448,dream,4,32
449,nightmare,4,11
450,belgium,4,103
451,high,4,470
452,maréchal,4,119
453,key,4,186
454,elected,4,353
455,record,4,192
456,hell,4,12
457,renzi,4,53
458,steve,4,40
459,close,4,387
460,bruno,4,173
461,british,4,466
462,january,4,313
463,journalist,4,103
464,rules,4,271
465,december,4,299
466,launch,4,88
467,family,4,186
468,turnout,4,115
469,vladimir,4,113
470,hamon,4,300
471,louvre,4,32
472,hacking,4,28
473,revolution,4,57
474,clinton,4,52
475,decide,3,97
476,football,3,94
477,pushes,3,8
478,ukraine,3,74
479,tougher,3,51
480,travel,3,83
481,mosque,3,40
482,schools,3,92
483,culture,3,127
484,add,3,43
485,protection,3,68
486,constitution,3,102
487,oppose,3,47
488,religious,3,113
489,jail,3,30
490,strategy,3,194
491,meps,3,137
492,save,3,75
493,called,3,816
494,adopts,3,2
495,islamist,3,76
496,unfair,3,36
497,trust,3,75
498,condemn,3,23
499,rescue,3,29
500,cat,3,8
501,slow,3,49
502,children,3,165
503,read,3,109
504,controversy,3,86
505,friend,3,86
506,politico,3,527
507,members,3,535
508,gamble,3,9
509,portugal,3,33
510,costa,3,33
511,isolate,3,10
512,beating,3,47
513,black,3,74
514,arms,3,49
515,surprise,3,84
516,demands,3,80
517,lie,3,28
518,longer,3,245
519,hate,3,52
520,split,3,78
521,team,3,200
522,wage,3,82
523,food,3,56
524,critics,3,124
525,teacher,3,79
526,opening,3,66
527,beheading,3,16
528,connection,3,22
529,search,3,32
530,spread,3,89
531,politician,3,185
532,dialogue,3,92
533,suspect,3,50
534,injured,3,54
535,approach,3,207
536,twitter,3,263
537,castaner,3,127
538,rebels,3,29
539,women,3,225
540,office,3,536
541,monday,3,552
542,term,3,437
543,greens,3,109
544,stumbles,3,3
545,major,3,392
546,cities,3,147
547,signals,3,16
548,woes,3,17
549,worker,3,59
550,tackle,3,56
551,north,3,164
552,africa,3,68
553,parallel,3,34
554,edouard,3,119
555,fate,3,52
556,puts,3,40
557,plots,3,3
558,exit,3,77
559,financial,3,323
560,lives,3,68
561,nuclear,3,121
562,plays,3,16
563,shirt,3,20
564,guide,3,29
565,charlemagne,3,8
566,sylvie,3,44
567,domestic,3,164
568,failure,3,86
569,official,3,683
570,anger,3,112
571,sees,3,84
572,jacques,3,143
573,chirac,3,161
574,beautiful,3,35
575,united,3,393
576,wauquiez,3,127
577,appeal,3,120
578,young,3,304
579,orbán,3,55
580,brace,3,2
581,parties,3,453
582,campaigns,3,86
583,lower,3,177
584,soldiers,3,44
585,general,3,324
586,declares,3,3
587,head,3,428
588,greatest,3,29
589,aides,3,164
590,grand,3,112
591,metoo,3,15
592,pick,3,73
593,influence,3,156
594,protester,3,39
595,real,3,303
596,approves,3,0
597,kill,3,31
598,raid,3,23
599,flag,3,40
600,tighten,3,8
601,mistake,3,60
602,angry,3,51
603,blows,3,12
604,trolls,3,6
605,defuse,3,9
606,platform,3,261
607,students,3,124
608,gas,3,94
609,spy,3,28
610,resigns,3,5
611,frenchman,3,18
612,cuts,3,101
613,torture,3,7
614,hulot,3,72
615,refuses,3,23
616,votes,3,249
617,benalla,3,107
618,invites,3,5
619,greece,3,66
620,bodyguard,3,21
621,isis,3,28
622,point,3,383
623,fine,3,65
624,madrid,3,50
625,sun,3,34
626,spanish,3,119
627,asylum,3,112
628,kim,3,11
629,phone,3,70
630,rallies,3,56
631,citizenship,3,55
632,harassment,3,64
633,money,3,229
634,islamic,3,124
635,accord,3,38
636,shoulder,3,24
637,puigdemont,3,47
638,questions,3,196
639,remark,3,14
640,libyan,3,34
641,funding,3,82
642,address,3,193
643,west,3,85
644,newspapers,3,48
645,eurozone,3,321
646,candidacy,3,119
647,dilemma,3,20
648,pictures,3,39
649,rivals,3,194
650,banks,3,88
651,magic,3,5
652,♥,3,0
653,cost,3,117
