,Word,Title Frequency,Word Frequency,,Class
1069,final,2,218,295,
1070,neck,2,59,962,
1071,decline,2,54,1023,
1072,interview,2,418,125,
1073,wartime,2,6,2234,
1074,firebrand,2,41,1181,
1075,threat,2,160,423,
1076,loves,2,3,2442,
1077,hired,2,38,1230,
1078,billionaire,2,17,1729,
1079,daughters,2,14,1834,
1080,unchained,2,0,2815,
1081,build,2,149,451,
1082,received,2,146,462,
1083,loan,2,53,1042,
1084,husband,2,61,941,
1085,february,2,132,497,
1086,splits,2,3,2442,
1087,breitbart,2,40,1194,
1088,headscarf,2,32,1335,
1089,deepen,2,20,1644,
1090,attacker,2,40,1194,
1091,payments,2,33,1315,
1092,choices,2,44,1144,
1093,growing,2,111,589,
1094,mp,2,260,239,
1095,cover,2,62,933,
1096,christine,2,22,1561,
1097,tycoon,2,5,2299,
1098,candidature,2,5,2299,
1099,cazeneuve,2,44,1144,
1100,worst,2,72,840,
1101,hope,2,199,331,
1102,air,2,106,607,
1103,knock,2,15,1794,
1104,politique,2,21,1602,
1105,editor,2,93,671,
1106,dismantle,2,7,2174,
1107,lobby,2,32,1335,
1108,sms,2,3,2442,
1109,exclusion,2,8,2109,
1110,closer,2,107,605,
1111,arnaud,2,71,848,
1112,montebourg,2,153,445,
1113,offer,2,111,589,
1114,corsica,2,26,1475,
1115,alstom,2,36,1258,
1116,avec,2,53,1042,
1117,hillary,2,34,1293,
1118,woman,2,113,579,
1119,town,2,177,381,
1120,honneur,2,13,1872,
1121,behavior,2,74,817,
1122,liar,2,4,2365,
1123,july,2,190,350,
1124,sanctions,2,90,686,
1125,loi,2,13,1872,
1126,single,2,146,462,
1127,access,2,88,702,
1128,allemand,2,4,2365,
1129,fail,2,39,1214,
1130,business,2,246,250,
1131,strike,2,175,389,
1132,ibrahimović,2,6,2234,
1133,sapin,2,37,1247,
1134,rogue,2,3,2442,
1135,“,2,0,2815,
1136,”,2,0,2815,
1137,ça,2,26,1475,
1138,mieux,2,8,2109,
1139,ttip,2,10,2001,
1140,youth,2,77,789,
1141,cartoon,2,15,1794,
1142,carousel,2,0,2815,
1143,ruined,2,3,2442,
1144,scrambles,2,0,2815,
1145,strides,1,1,2664,
1146,cultural,1,82,747,
1147,napoleon,1,41,1181,
1148,memory,1,24,1515,
1149,reeling,1,11,1946,
1150,kiss,1,8,2109,
1151,glut,1,1,2664,
1152,struggles,1,29,1397,
1153,fallout,1,34,1293,
1154,pensioner,1,7,2174,
1155,murder,1,54,1023,
1156,launched,1,195,341,
1157,fatal,1,11,1946,
1158,stabbing,1,4,2365,
1159,super,1,60,954,
1160,responsible,1,90,686,
1161,quarantine,1,14,1834,
1162,travelers,1,18,1699,
1163,slam,1,2,2541,
1164,breakaway,1,16,1759,
1165,uper,1,0,2815,
1166,advises,1,9,2050,
1167,temporarily,1,25,1494,
1168,bring,1,179,376,
1169,brazil,1,21,1602,
1170,flight,1,19,1673,
1171,suspension,1,16,1759,
1172,vandalism,1,7,2174,
1173,concerns,1,148,453,
1174,trumped,1,1,2664,
1175,reformist,1,46,1131,
1176,luxury,1,22,1561,
1177,curbs,1,0,2815,
1178,tears,1,15,1794,
1179,consultancy,1,16,1759,
1180,deals,1,51,1074,
1181,rwandan,1,5,2299,
1182,genocide,1,14,1834,
1183,hospital,1,57,987,
1184,reboot,1,3,2442,
1185,oxford,1,11,1946,
1186,monthlong,1,1,2664,
1187,region,1,280,212,
1188,setting,1,85,720,
1189,zones,1,24,1515,
1190,threatened,1,71,848,
1191,withhold,1,6,2234,
1192,prevented,1,21,1602,
1193,pass,1,78,778,
1194,venues,1,7,2174,
1195,till,1,3,2442,
1196,convicted,1,40,1194,
1197,generation,1,79,769,
1198,identity,1,138,483,
1199,pupils,1,14,1834,
1200,banning,1,51,1074,
1201,symbols,1,24,1515,
1202,sentence,1,41,1181,
1203,crushes,1,3,2442,
1204,prospects,1,28,1424,
1205,rocks,1,6,2234,
1206,convention,1,74,817,
1207,flirting,1,2,2541,
1208,quarrels,1,5,2299,
1209,meatless,1,3,2442,
1210,riviera,1,11,1946,
1211,weekend,1,158,430,
1212,leftism,1,13,1872,
1213,anchor,1,9,2050,
1214,patrick,1,55,1012,
1215,poivre,1,8,2109,
1216,arvor,1,8,2109,
1217,scouring,1,3,2442,
1218,catch,1,25,1494,
1219,fraudsters,1,0,2815,
1220,bias,1,1,2664,
1221,academia,1,2,2541,
1222,extremism,1,31,1360,
1223,gathers,1,3,2442,
1224,illustrated,1,11,1946,
1225,obstacle,1,26,1475,
1226,challengers,1,10,2001,
1227,spars,1,0,2815,
1228,clément,1,22,1561,
1229,beaune,1,101,630,
1230,director,1,117,565,
1231,duhamel,1,26,1475,
1232,advantage,1,56,1002,
1233,cabinets,1,22,1561,
1234,conseil,1,32,1335,
1235,comme,1,28,1424,
1236,ont,1,39,1214,
1237,conquis,1,0,2815,
1238,consultants,1,35,1278,
1239,expulsion,1,14,1834,
1240,diplomats,1,61,941,
1241,china,1,127,517,
1242,dissatisfaction,1,9,2050,
1243,rise,1,161,417,
1244,admires,1,1,2664,
1245,warp,1,1,2664,
1246,quasi,1,13,1872,
1247,ineffective,1,7,2174,
1248,older,1,32,1335,
1249,hamper,1,2,2541,
1250,dog,1,7,2174,
1251,pet,1,8,2109,
1252,stores,1,20,1644,
1253,sufficient,1,21,1602,
1254,apologize,1,9,2050,
1255,algeria,1,21,1602,
1256,colonization,1,13,1872,
1257,benefits,1,81,753,
1258,invisible,1,13,1872,
1259,hurt,1,35,1278,
1260,charter,1,33,1315,
1261,imams,1,22,1561,
1262,piercing,1,0,2815,
1263,wrinkles,1,2,2541,
1264,ruckus,1,3,2442,
1265,procurement,1,17,1729,
1266,incest,1,5,2299,
1267,scientist,1,32,1335,
1268,establishment,1,143,468,
1269,consultancies,1,29,1397,
1270,vaccination,1,69,871,
1271,poses,1,35,1278,
1272,busting,1,4,2365,
1273,rave,1,2,2541,
1274,quiz,1,0,2815,
1275,condemned,1,45,1138,
1276,angers,1,5,2299,
1277,tweets,1,40,1194,
1278,targeting,1,36,1258,
1279,contestant,1,1,2664,
1280,prompts,1,3,2442,
1281,dishonorable,1,1,2664,
1282,italians,1,15,1794,
1283,egypt,1,11,1946,
1284,radicalism,1,19,1673,
1285,niece,1,60,954,
1286,authoritarian,1,26,1475,
1287,vetoing,1,0,2815,
1288,visionary,1,8,2109,
1289,intelligence,1,115,574,
1290,inspect,1,5,2299,
1291,mosques,1,23,1536,
1292,suspicion,1,37,1247,
1293,eparatism,1,0,2815,
1294,alpine,1,1,2664,
1295,ski,1,18,1699,
1296,resorts,1,4,2365,
1297,dread,1,2,2541,
1298,backtrack,1,3,2442,
1299,thousands,1,137,485,
1300,hame,1,0,2815,
1301,rewrite,1,13,1872,
1302,eases,1,1,2664,
1303,dismantling,1,14,1834,
1304,feeds,1,7,2174,
1305,footage,1,52,1060,
1306,postpone,1,15,1794,
1307,rectify,1,2,2541,
1308,blatant,1,4,2365,
1309,treatment,1,39,1214,
1310,tanker,1,2,2541,
1311,depends,1,13,1872,
1312,guarantee,1,46,1131,
1313,crackdown,1,22,1561,
1314,filming,1,8,2109,
1315,ballots,1,30,1379,
1316,lax,1,7,2174,
1317,learn,1,34,1293,
1318,delay,1,41,1181,
1319,imam,1,8,2109,
1320,feasible,1,2,2541,
1321,rector,1,2,2541,
1322,experiment,1,17,1729,
1323,muddled,1,4,2365,
1324,messaging,1,15,1794,
1325,fuels,1,7,2174,
1326,contradicts,1,3,2442,
1327,dissolve,1,10,2001,
1328,turkish,1,83,739,
1329,ultranationalist,1,5,2299,
1330,priest,1,17,1729,
1331,shooting,1,20,1644,
1332,lyon,1,77,789,
1333,deployment,1,13,1872,
1334,surveillance,1,18,1699,
1335,technology,1,50,1086,
1336,series,1,173,392,
1337,beefs,1,0,2815,
1338,posts,1,50,1086,
1339,abroad,1,74,817,
1340,oecd,1,7,2174,
1341,contenders,1,36,1258,
1342,standing,1,105,615,
1343,leaves,1,53,1042,
1344,caricature,1,9,2050,
1345,backfire,1,6,2234,
1346,tension,1,34,1293,
1347,turf,1,8,2109,
1348,wars,1,30,1379,
1349,burnouts,1,2,2541,
1350,mongering,1,3,2442,
1351,turks,1,6,2234,
1352,boycott,1,16,1759,
1353,goods,1,31,1360,
1354,liner,1,4,2365,
1355,darkens,1,0,2815,
1356,shadow,1,31,1360,
1357,teachers,1,62,933,
1358,swimming,1,15,1794,
1359,pools,1,9,2050,
1360,complaint,1,36,1258,
1361,aisles,1,6,2234,
1362,closure,1,15,1794,
1363,denounced,1,36,1258,
1364,murdered,1,11,1946,
1365,urban,1,54,1023,
1366,jack,1,8,2109,
1367,lang,1,30,1379,
1368,epstein,1,28,1424,
1369,donation,1,9,2050,
1370,fund,1,117,565,
1371,movie,1,17,1729,
1372,crewed,1,0,2815,
1373,tested,1,41,1181,
1374,baltic,1,11,1946,
1375,reckons,1,2,2541,
1376,limits,1,50,1086,
1377,confesses,1,2,2541,
1378,stronger,1,80,760,
1379,multilateralism,1,6,2234,
1380,advice,1,45,1138,
1381,cheap,1,14,1834,
1382,cooks,1,0,2815,
1383,storm,1,26,1475,
1384,hundreds,1,85,720,
1385,monkey,1,5,2299,
1386,prospect,1,52,1060,
1387,despair,1,10,2001,
1388,dignity,1,15,1794,
1389,lebanese,1,48,1112,
1390,commitment,1,58,973,
1391,calendar,1,8,2109,
1392,bet,1,31,1360,
1393,magazine,1,97,644,
1394,depicting,1,10,2001,
1395,slave,1,8,2109,
1396,dodges,1,0,2815,
1397,retaliatory,1,2,2541,
1398,fort,1,21,1602,
1399,brégançon,1,11,1946,
1400,youngest,1,27,1449,
1401,transform,1,24,1515,
1402,ramp,1,11,1946,
1403,presence,1,65,912,
1404,mediterranean,1,47,1120,
1405,mask,1,26,1475,
1406,heatwave,1,1,2664,
1407,language,1,90,686,
1408,carrot,1,3,2442,
1409,delivers,1,28,1424,
1410,stern,1,13,1872,
1411,message,1,205,326,
1412,stricken,1,2,2541,
1413,quarter,1,53,1042,
1414,avoided,1,43,1156,
1415,feminists,1,9,2050,
1416,attractivenes,1,0,2815,
1417,title,1,57,987,
1418,ridicule,1,12,1911,
1419,place,1,471,105,
1420,castex,1,98,639,
1421,picking,1,20,1644,
1422,profile,1,121,545,
1423,bets,1,7,2174,
1424,greater,1,129,511,
1425,involvement,1,32,1335,
1426,sahel,1,13,1872,
1427,counterterrorism,1,14,1834,
1428,tightrope,1,2,2541,
1429,highlights,1,15,1794,
1430,mixed,1,24,1515,
1431,anne,1,74,817,
1432,throne,1,5,2299,
1433,haunting,1,1,2664,
1434,rated,1,4,2365,
1435,appointing,1,10,2001,
1436,dijon,1,4,2365,
1437,outbreaks,1,3,2442,
1438,continue,1,154,440,
1439,reset,1,21,1602,
1440,tear,1,59,962,
1441,statue,1,11,1946,
1442,floated,1,10,2001,
1443,comedian,1,18,1699,
1444,qaeda,1,8,2109,
1445,parade,1,25,1494,
1446,george,1,32,1335,
1447,floyd,1,10,2001,
1448,hairy,1,1,2664,
1449,absolute,1,45,1138,
1450,assault,1,58,973,
1451,trange,1,0,2815,
1452,farmers,1,52,1060,
1453,alarm,1,19,1673,
1454,cheese,1,11,1946,
1455,meltdown,1,9,2050,
1456,haired,1,12,1911,
1457,europeanist,1,0,2815,
1458,squeeze,1,5,2299,
1459,resurgent,1,9,2050,
1460,solidarity,1,84,728,
1461,gayle,1,1,2664,
1462,smith,1,5,2299,
1463,changing,1,62,933,
1464,testing,1,37,1247,
1465,country,1,1149,29,
1466,bars,1,21,1602,
1467,restaurants,1,34,1293,
1468,crunch,1,2,2541,
1469,disrupter,1,2,2541,
1470,convince,1,97,644,
1471,kids,1,13,1872,
1472,phones,1,2,2541,
1473,sexting,1,4,2365,
1474,secret,1,52,1060,
1475,sex,1,33,1315,
1476,soldier,1,23,1536,
1477,burkina,1,6,2234,
1478,faso,1,5,2299,
1479,roulette,1,0,2815,
1480,pragmatic,1,21,1602,
1481,based,1,258,240,
1482,photo,1,139,481,
1483,havre,1,22,1561,
1484,defiant,1,15,1794,
1485,suspends,1,0,2815,
1486,backed,1,145,467,
1487,site,1,92,675,
1488,powered,1,7,2174,
1489,concession,1,18,1699,
1490,striketime,1,0,2815,
1491,survival,1,20,1644,
1492,detached,1,12,1911,
1493,ursula,1,30,1379,
1494,marathon,1,15,1794,
1495,conflicts,1,28,1424,
1496,cult,1,9,2050,
1497,personality,1,33,1315,
1498,turtle,1,1,2664,
1499,spells,1,6,2234,
1500,reformer,1,22,1561,
1501,determined,1,72,840,
1502,existential,1,8,2109,
1503,unite,1,29,1397,
1504,defend,1,146,462,
1505,insulting,1,19,1673,
1506,nasty,1,22,1561,
1507,formally,1,62,933,
1508,embezzlement,1,17,1729,
1509,undermining,1,13,1872,
1510,agenda,1,221,293,
1511,outlines,1,3,2442,
1512,proposal,1,176,387,
1513,accession,1,18,1699,
1514,indicted,1,5,2299,
1515,islamophobic,1,5,2299,
1516,undercurrent,1,1,2664,
1517,bulgaria,1,26,1475,
1518,issue,1,237,267,
1519,remarks,1,75,809,
1520,uncertainty,1,37,1247,
1521,potential,1,205,326,
1522,competitor,1,10,2001,
1523,pointing,1,40,1194,
1524,betrayal,1,25,1494,
1525,follow,1,103,620,
1526,crisi,1,0,2815,
1527,fester,1,2,2541,
1528,rejection,1,46,1131,
1529,institutional,1,31,1360,
1530,justify,1,22,1561,
1531,extension,1,32,1335,
1532,unrelenting,1,7,2174,
1533,mounts,1,1,2664,
1534,mourn,1,1,2664,
1535,lovable,1,3,2442,
1536,aged,1,42,1171,
1537,disrupted,1,20,1644,
1538,bang,1,11,1946,
1539,heavyweight,1,24,1515,
1540,impropriety,1,3,2442,
1541,conducted,1,75,809,
1542,brazilian,1,12,1911,
1543,supports,1,33,1315,
1544,intention,1,62,933,
1545,pesticide,1,4,2365,
1546,includes,1,77,789,
1547,western,1,154,440,
1548,balkans,1,9,2050,
1549,teach,1,9,2050,
1550,literature,1,10,2001,
1551,suburb,1,44,1144,
1552,smoking,1,28,1424,
1553,stubbed,1,0,2815,
1554,unsteady,1,0,2815,
1555,crown,1,4,2365,
1556,transparency,1,30,1379,
1557,festival,1,16,1759,
1558,booed,1,9,2050,
1559,celebrations,1,14,1834,
1560,lobster,1,2,2541,
1561,dinners,1,15,1794,
1562,raids,1,27,1449,
1563,senior,1,295,204,
1564,ciudadanos,1,37,1247,
1565,comparable,1,14,1834,
1566,emerges,1,9,2050,
1567,slump,1,8,2109,
1568,pop,1,7,2174,
1569,frame,1,6,2234,
1570,defeats,1,14,1834,
1571,surge,1,29,1397,
1572,misused,1,22,1561,
1573,cjeu,1,0,2815,
1574,square,1,29,1397,
1575,wrestle,1,4,2365,
1576,leading,1,206,320,
1577,plugs,1,1,2664,
1578,supergroup,1,1,2664,
1579,wildfire,1,1,2664,
1580,pool,1,77,789,
1581,resources,1,57,987,
1582,heritage,1,23,1536,
1583,shakes,1,10,2001,
1584,scrap,1,29,1397,
1585,fully,1,81,753,
1586,extinguished,1,2,2541,
1587,tipped,1,12,1911,
1588,taxes,1,97,644,
1589,privatization,1,6,2234,
1590,malta,1,15,1794,
1591,allocate,1,3,2442,
1592,loiseau,1,68,882,
1593,piste,1,0,2815,
1594,sacked,1,17,1729,
1595,trong,1,0,2815,
1596,strains,1,2,2541,
1597,responds,1,4,2365,
1598,poseur,1,1,2664,
1599,poet,1,9,2050,
1600,reborn,1,2,2541,
1601,showman,1,2,2541,
1602,misunderstanding,1,4,2365,
1603,decathlon,1,5,2299,
1604,hijab,1,7,2174,
1605,online,1,152,446,
1606,semitism,1,33,1315,
1607,senators,1,11,1946,
1608,accuse,1,46,1131,
1609,withholding,1,5,2299,
1610,orgy,1,1,2664,
1611,psychotherapy,1,2,2541,
1612,twitch,1,4,2365,
1613,condemns,1,6,2234,
1614,fireworks,1,7,2174,
1615,suggests,1,63,929,
1616,truths,1,7,2174,
1617,pocket,1,6,2234,
1618,fingers,1,5,2299,
1619,winner,1,71,848,
1620,conference,1,233,275,
1621,rome,1,76,799,
1622,repeated,1,79,769,
1623,animalist,1,3,2442,
1624,promotes,1,5,2299,
1625,champions,1,11,1946,
1626,railbus,1,0,2815,
1627,attempt,1,141,476,
1628,recording,1,11,1946,
1629,convenience,1,3,2442,
1630,gift,1,17,1729,
1631,responsive,1,2,2541,
1632,membership,1,91,683,
1633,reformed,1,14,1834,
1634,lecturing,1,7,2174,
1635,transport,1,81,753,
1636,staff,1,210,308,
1637,heartland,1,0,2815,
1638,jumps,1,1,2664,
1639,kick,1,18,1699,
1640,laws,1,110,596,
1641,multiple,1,83,739,
1642,agitators,1,2,2541,
1643,stick,1,36,1258,
1644,probed,1,1,2664,
1645,registers,1,2,2541,
1646,trademark,1,6,2234,
1647,figures,1,148,453,
1648,charts,1,1,2664,
1649,flop,1,6,2234,
1650,communists,1,6,2234,
1651,recruit,1,12,1911,
1652,consecutive,1,19,1673,
1653,respite,1,2,2541,
1654,lies,1,57,987,
1655,beneath,1,2,2541,
1656,uprising,1,12,1911,
1657,foot,1,17,1729,
1658,deficit,1,76,799,
1659,increase,1,143,468,
1660,santa,1,2,2541,
1661,hole,1,8,2109,
1662,sweeteners,1,2,2541,
1663,catastrophe,1,13,1872,
1664,reckoning,1,10,2001,
1665,mode,1,11,1946,
1666,knees,1,11,1946,
1667,poor,1,79,769,
1668,climbdown,1,3,2442,
1669,canceled,1,24,1515,
1670,smacking,1,1,2664,
1671,detriment,1,5,2299,
1672,spot,1,27,1449,
1673,tweak,1,5,2299,
1674,rages,1,0,2815,
1675,mobilize,1,12,1911,
1676,mutiny,1,5,2299,
1677,tweet,1,64,919,
1678,lack,1,156,432,
1679,decency,1,9,2050,
1680,anniversary,1,54,1023,
1681,wanted,1,224,290,
1682,speaking,1,230,281,
1683,judgment,1,12,1911,
1684,charms,1,1,2664,
1685,collaborator,1,5,2299,
1686,pond,1,4,2365,
1687,ultra,1,56,1002,
1688,howdown,1,0,2815,
1689,boot,1,0,2815,
1690,hails,1,6,2234,
1691,caledonia,1,6,2234,
1692,unexpected,1,24,1515,
1693,pundits,1,15,1794,
1694,worried,1,64,919,
1695,quake,1,1,2664,
1696,hesse,1,8,2109,
1697,teaches,1,2,2541,
1698,headlines,1,44,1144,
1699,khashoggi,1,7,2174,
1700,arabia,1,25,1494,
1701,morals,1,4,2365,
1702,freakout,1,0,2815,
1703,treaty,1,103,620,
1704,brits,1,32,1335,
1705,cliff,1,6,2234,
1706,edge,1,21,1602,
1707,safety,1,43,1156,
1708,turns,1,27,1449,
1709,drunk,1,4,2365,
1710,gaffes,1,4,2365,
1711,interpol,1,4,2365,
1712,reported,1,974,37,
1713,missing,1,23,1536,
1714,spins,1,0,2815,
1715,unblocks,1,0,2815,
1716,subsidies,1,23,1536,
1717,accepting,1,21,1602,
1718,chequers,1,8,2109,
1719,suicidal,1,5,2299,
1720,undergo,1,9,2050,
1721,psychiatric,1,2,2541,
1722,evaluation,1,12,1911,
1723,memorabilia,1,0,2815,
1724,worth,1,52,1060,
1725,sold,1,33,1315,
1726,finishing,1,11,1946,
1727,admit,1,27,1449,
1728,algerian,1,31,1360,
1729,review,1,28,1424,
1730,swedish,1,13,1872,
1731,pedaling,1,0,2815,
1732,opponent,1,76,799,
1733,shaky,1,5,2299,
1734,ground,1,165,408,
1735,isolation,1,21,1602,
1736,grows,1,8,2109,
1737,depend,1,40,1194,
1738,macronomics,1,2,2541,
1739,uninvited,1,1,2664,
1740,web,1,50,1086,
1741,magnette,1,11,1946,
1742,uproar,1,13,1872,
1743,wwi,1,1,2664,
1744,ceremony,1,39,1214,
1745,vélo,1,0,2815,
1746,rattled,1,3,2442,
1747,clamps,1,0,2815,
1748,upskirting,1,1,2664,
1749,pervert,1,1,2664,
1750,accidental,1,8,2109,
1751,berlusconi,1,15,1794,
1752,blocks,1,10,2001,
1753,broadcasting,1,6,2234,
1754,tuff,1,0,2815,
1755,south,1,93,671,
1756,ryanair,1,3,2442,
1757,treads,1,1,2664,
1758,lippery,1,0,2815,
1759,affair,1,82,747,
1760,faceoff,1,3,2442,
1761,channelling,1,0,2815,
1762,biblical,1,1,2664,
1763,inferno,1,2,2541,
1764,freaking,1,0,2815,
1765,spark,1,8,2109,
1766,human,1,117,565,
1767,drama,1,17,1729,
1768,penalty,1,15,1794,
1769,states,1,334,164,
1770,grill,1,2,2541,
1771,dismissed,1,72,840,
1772,advise,1,10,2001,
1773,buddies,1,3,2442,
1774,drift,1,14,1834,
1775,frail,1,1,2664,
1776,grip,1,19,1673,
1777,bleus,1,2,2541,
1778,wrecked,1,1,2664,
1779,noses,1,7,2174,
1780,hosts,1,11,1946,
1781,europopulists,1,0,2815,
1782,idea,1,341,159,
1783,sounded,1,29,1397,
1784,mourns,1,0,2815,
1785,blue,1,59,962,
1786,monarch,1,6,2234,
1787,horrifie,1,0,2815,
1788,impose,1,57,987,
1789,troubled,1,21,1602,
1790,sends,1,8,2109,
1791,reminder,1,13,1872,
1792,spending,1,178,377,
1793,mini,1,12,1911,
1794,academy,1,12,1911,
1795,dismayed,1,6,2234,
1796,ánchez,1,0,2815,
1797,mafia,1,1,2664,
1798,rage,1,15,1794,
1799,wolf,1,6,2234,
1800,royals,1,2,2541,
1801,tea,1,7,2174,
1802,trumps,1,1,2664,
1803,differences,1,84,728,
1804,purgatory,1,2,2541,
1805,aquarius,1,10,2001,
1806,boat,1,16,1759,
1807,hijacks,1,0,2815,
1808,summons,1,0,2815,
1809,ummit,1,0,2815,
1810,century,1,96,653,
1811,gravy,1,1,2664,
1812,halt,1,32,1335,
1813,cannonball,1,1,2664,
1814,sausage,1,0,2815,
1815,terrible,1,23,1536,
1816,ranking,1,28,1424,
1817,prematurely,1,1,2664,
1818,sorrow,1,1,2664,
1819,liège,1,2,2541,
1820,questioning,1,30,1379,
1821,management,1,51,1074,
1822,piderman,1,0,2815,
1823,crimes,1,30,1379,
1824,thwarted,1,10,2001,
1825,reimburse,1,12,1911,
1826,menopausal,1,1,2664,
1827,laundering,1,6,2234,
1828,chechen,1,17,1729,
1829,born,1,86,713,
1830,carried,1,125,528,
1831,whiff,1,3,2442,
1832,consolation,1,6,2234,
1833,flattered,1,4,2365,
1834,description,1,10,2001,
1835,indignation,1,10,2001,
1836,america,1,95,659,
1837,pecial,1,0,2815,
1838,withdraw,1,59,962,
1839,bromance,1,7,2174,
1840,conceals,1,2,2541,
1841,minimal,1,8,2109,
1842,brushes,1,5,2299,
1843,dandruff,1,2,2541,
1844,perfect,1,30,1379,
1845,guarantor,1,3,2442,
1846,order,1,318,183,
1847,serve,1,62,933,
1848,steam,1,19,1673,
1849,forged,1,7,2174,
1850,signal,1,52,1060,
1851,trade,1,382,143,
1852,flatters,1,0,2815,
1853,seize,1,23,1536,
1854,convinced,1,73,831,
1855,stay,1,134,493,
1856,statements,1,78,778,
1857,memoir,1,6,2234,
1858,viktor,1,30,1379,
1859,celebrates,1,3,2442,
1860,degree,1,25,1494,
1861,ees,1,0,2815,
1862,spring,1,53,1042,
1863,confront,1,10,2001,
1864,rail,1,71,848,
1865,attrition,1,4,2365,
1866,holocaust,1,31,1360,
1867,naive,1,3,2442,
1868,officer,1,59,962,
1869,gunman,1,11,1946,
1870,paul,1,65,912,
1871,ryan,1,8,2109,
1872,congress,1,54,1023,
1873,wild,1,22,1561,
1874,reiterates,1,2,2541,
1875,poisoning,1,20,1644,
1876,assassination,1,11,1946,
1877,racist,1,52,1060,
1878,historic,1,42,1171,
1879,swore,1,1,2664,
1880,poisoned,1,10,2001,
1881,ayatollahs,1,1,2664,
1882,projects,1,44,1144,
1883,günther,1,1,2664,
1884,oettinger,1,1,2664,
1885,respect,1,123,537,
1886,investment,1,112,583,
1887,immigration,1,192,347,
1888,rating,1,42,1171,
1889,ankara,1,37,1247,
1890,emerge,1,23,1536,
1891,homeless,1,18,1699,
1892,pizzamaker,1,1,2664,
1893,room,1,74,817,
1894,quash,1,1,2664,
1895,resurgence,1,18,1699,
1896,sham,1,1,2664,
1897,propose,1,36,1258,
1898,reorganization,1,1,2664,
1899,master,1,20,1644,
1900,stretch,1,22,1561,
1901,rebrand,1,9,2050,
1902,answer,1,81,753,
1903,core,1,79,769,
1904,rank,1,35,1278,
1905,remains,1,210,308,
1906,spd,1,69,871,
1907,forward,1,180,374,
1908,channel,1,120,551,
1909,dared,1,10,2001,
1910,tread,1,8,2109,
1911,marks,1,24,1515,
1912,chapter,1,10,2001,
1913,appointed,1,100,632,
1914,governor,1,18,1699,
1915,banque,1,3,2442,
1916,spicy,1,1,2664,
1917,appetizer,1,0,2815,
1918,baguette,1,2,2541,
1919,load,1,8,2109,
1920,recognition,1,37,1247,
1921,bread,1,4,2365,
1922,gears,1,3,2442,
1923,firmnes,1,0,2815,
1924,opposing,1,24,1515,
1925,wind,1,13,1872,
1926,stéphane,1,34,1293,
1927,foll,1,31,1360,
1928,hambolic,1,0,2815,
1929,wobbles,1,3,2442,
1930,nationalist,1,68,882,
1931,ultimatum,1,11,1946,
1932,threaten,1,20,1644,
1933,prisoner,1,12,1911,
1934,phase,1,53,1042,
1935,dirty,1,22,1561,
1936,washington,1,100,632,
1937,medical,1,50,1086,
1938,romanian,1,8,2109,
1939,exile,1,7,2174,
1940,permanent,1,78,778,
1941,construction,1,35,1278,
1942,lightning,1,14,1834,
1943,decisive,1,44,1144,
1944,saving,1,8,2109,
1945,bacon,1,2,2541,
1946,tony,1,23,1536,
1947,blair,1,28,1424,
1948,institute,1,73,831,
1949,peaked,1,3,2442,
1950,compassion,1,1,2664,
1951,animals,1,10,2001,
1952,needed,1,159,427,
1953,private,1,173,392,
1954,plane,1,15,1794,
1955,releases,1,2,2541,
1956,dismisses,1,3,2442,
1957,heats,1,2,2541,
1958,bounces,1,0,2815,
1959,celebrate,1,29,1397,
1960,birthday,1,14,1834,
1961,luxurious,1,2,2541,
1962,château,1,4,2365,
1963,weaken,1,21,1602,
1964,sort,1,71,848,
1965,embraces,1,11,1946,
1966,lord,1,6,2234,
1967,darth,1,1,2664,
1968,moore,1,3,2442,
1969,euco,1,0,2815,
1970,wire,1,10,2001,
1971,tapping,1,9,2050,
1972,headache,1,17,1729,
1973,manhattan,1,3,2442,
1974,jamaica,1,4,2365,
1975,blues,1,2,2541,
1976,rock,1,21,1602,
1977,roll,1,25,1494,
1978,creates,1,27,1449,
1979,including,1,582,75,
1980,prestigious,1,23,1536,
1981,responsibility,1,119,554,
1982,middle,1,122,539,
1983,east,1,92,675,
1984,satan,1,1,2664,
1985,jerusalem,1,21,1602,
1986,irish,1,30,1379,
1987,tangle,1,3,2442,
1988,momentous,1,1,2664,
1989,partly,1,87,707,
1990,fault,1,19,1673,
1991,deplorable,1,1,2664,
1992,condition,1,57,987,
1993,«,1,34,1293,
1994,»,1,34,1293,
1995,prépare,1,1,2664,
1996,une,1,126,524,
1997,sortie,1,4,2365,
1998,sans,1,11,1946,
1999,punishable,1,9,2050,
2000,offense,1,22,1561,
2001,reason,1,128,515,
2002,accounts,1,70,862,
2003,oversee,1,6,2234,
2004,democrats,1,165,408,
2005,tolerate,1,16,1759,
2006,hammond,1,27,1449,
2007,eeyore,1,2,2541,
2008,persecution,1,12,1911,
2009,eems,1,0,2815,
2010,weakened,1,40,1194,
2011,searches,1,7,2174,
2012,partner,1,137,485,
2013,concern,1,98,639,
2014,curtain,1,2,2541,
2015,bids,1,4,2365,
2016,farewell,1,4,2365,
2017,rebound,1,3,2442,
2018,helm,1,11,1946,
2019,late,1,207,315,
2020,mutineer,1,1,2664,
2021,splash,1,6,2234,
2022,mise,1,8,2109,
2023,muriel,1,10,2001,
2024,pénicaud,1,26,1475,
2025,formula,1,7,2174,
2026,lane,1,6,2234,
2027,taxpayers,1,7,2174,
