,Word,Title Frequency,Word Frequency,,Class
249,candidates,6,567,80,
250,clash,6,35,1278,
251,vision,6,146,462,
252,cancels,6,0,2815,
253,belgian,6,72,840,2
254,emergency,6,119,554,
255,hit,6,154,440,
256,army,6,69,871,
257,coalition,6,227,284,
258,spat,6,33,1315,
259,row,6,35,1278,
260,catalonia,6,61,941,2
261,marion,6,151,447,1
262,syria,6,182,371,2
263,press,6,477,103,
264,boris,6,66,902,2
265,franco,6,134,493,2
266,offensive,6,36,1258,
267,november,6,353,154,
268,refugee,6,76,799,4
269,runoff,6,166,403,
270,wing,6,530,92,
271,fall,5,140,480,
272,border,5,160,423,
273,sets,5,21,1602,
274,fears,5,70,862,
275,environment,5,119,554,4
276,closes,5,3,2442,
277,school,5,200,329,
278,white,5,136,490,4
279,legal,5,232,278,
280,polish,5,81,753,2
281,bans,5,25,1494,
282,group,5,669,60,
283,city,5,328,169,
284,pressure,5,150,449,
285,accused,5,308,191,
286,social,5,608,67,4
287,allies,5,248,248,
288,reelection,5,88,702,
289,response,5,237,267,
290,people,5,1614,16,
291,protect,5,115,574,
292,eyes,5,63,929,
293,work,5,687,57,
294,opens,5,12,1911,
295,ties,5,123,537,
296,giscard,5,90,686,1
297,dead,5,72,840,
298,controversial,5,171,397,
299,outrage,5,55,1012,
300,commission,5,406,128,
301,supporters,5,318,183,
302,pro,5,313,187,
303,confidential,5,16,1759,
304,erdoğan,5,79,769,2
305,action,5,198,333,
306,charlie,5,61,941,4
307,accuses,5,14,1834,
308,lebanon,5,83,739,2
309,wall,5,42,1171,
310,local,5,413,127,
311,elysée,5,301,199,3
312,good,5,322,176,
313,crisis,5,422,124,4
314,defeat,5,177,381,
315,polls,5,538,88,
316,unions,5,256,242,4
317,trouble,5,80,760,
318,london,5,210,308,2
319,job,5,358,151,
320,backs,5,22,1561,
321,liberal,5,256,242,4
322,notre,5,58,973,3
323,dame,5,51,1074,3
324,list,5,226,287,
325,running,5,349,156,
326,truth,5,67,893,
327,salvini,5,94,664,2
328,aim,5,99,637,
329,budget,5,299,202,
330,fuel,5,98,639,
331,pay,5,231,280,
332,approval,5,161,417,
333,ratings,5,89,694,
334,prepares,5,16,1759,
335,days,5,457,111,
336,lost,5,241,260,
337,life,5,246,250,
338,start,5,300,200,
339,game,5,55,1012,
340,catalan,5,131,503,2
341,spokesman,5,129,511,
342,sur,5,100,632,
343,pledges,5,18,1699,
344,tensions,5,82,747,
345,angela,5,265,230,2
346,great,5,264,232,
347,bayrou,5,118,562,1
348,happened,5,91,683,
349,débat,5,17,1729,
350,penelopegate,5,16,1759,1
351,paid,5,160,423,
352,league,4,122,539,
353,hold,4,188,355,
354,lift,4,42,1171,
355,pakistan,4,21,1602,2
356,leave,4,277,217,
357,restrictions,4,60,954,
358,elite,4,112,583,
359,claims,4,87,707,
360,covid,4,105,615,
361,ministry,4,280,212,
362,imposes,4,8,2109,
363,moves,4,34,1293,
364,urges,4,2,2541,
